defect_id,reported_at,reported_by_source,module,severity,status,asset_id,location_id,short_description
BUG000031,2025-06-01 21:12:13,Data Quality,Mobile Sync,Low,Resolved,AST000008,,Duplicate records in export
BUG000032,2025-08-21 13:35:40,Field Mobile,Work Orders,Medium,Resolved,AST000747,,Barcode scan fails intermittently
BUG000033,2024-03-07 22:01:39,Field Mobile,Reporting,Medium,Resolved,,LOC0012,Report filter returns empty
BUG000034,2025-05-07 19:31:47,Field Mobile,User Access,High,Open,AST000857,,Barcode scan fails intermittently
BUG000035,2025-04-10 12:56:54,Field Mobile,Work Orders,Low,Resolved,AST000516,LOC0017,Sync conflict on offline mode
BUG000036,2025-06-03 13:37:40,Integration,Assets,Medium,In Review,AST000519,,WO status not updating
BUG000037,2025-07-15 15:51:22,Internal User,Reporting,Medium,Open,AST001084,,WO status not updating
BUG000038,2024-03-16 15:16:01,Internal User,Reporting,High,Open,,,Incorrect priority mapping
BUG000039,2024-07-28 13:03:45,Field Mobile,Reporting,Low,In Review,,,Mobile form validation error
BUG000040,2025-05-07 06:43:39,Internal User,Work Orders,Low,Open,AST001090,LOC0018,WO status not updating
BUG000041,2024-11-28 22:54:03,Integration,Mobile Sync,Critical,Resolved,AST000454,,WO status not updating
BUG000042,2024-08-15 10:10:36,Internal User,Mobile Sync,Low,Resolved,,,Login timeout / session issue
BUG000043,2024-05-20 12:01:55,Field Mobile,Reporting,Low,In Review,,LOC0015,WO status not updating
BUG000044,2025-08-09 12:53:26,Permissions,Mobile Sync,Medium,In Review,AST000140,LOC0023,Report filter returns empty
BUG000045,2025-11-23 06:15:07,Field Mobile,Reporting,High,Resolved,AST001045,,Sync conflict on offline mode
BUG000046,2024-07-06 16:40:10,Field Mobile,Reporting,Low,Open,AST000801,,Duplicate records in export
BUG000047,2024-07-05 13:11:10,Field Mobile,Mobile Sync,Medium,In Review,AST000887,,Report filter returns empty
BUG000048,2025-12-20 20:22:49,Permissions,Assets,Low,Open,AST000679,,Date parsing issue during import
BUG000049,2024-08-26 22:09:44,Internal User,Work Orders,Critical,In Review,AST000635,,Date parsing issue during import
BUG000050,2024-09-17 18:16:00,Integration,Work Orders,Medium,Open,AST000572,,Barcode scan fails intermittently
BUG000051,2024-09-05 03:55:19,Field Mobile,Work Orders,Critical,Resolved,AST000881,,Sync conflict on offline mode
BUG000052,2024-06-19 12:06:19,Internal User,Work Orders,High,Resolved,AST000627,,Incorrect priority mapping
BUG000053,2024-01-30 11:27:04,Internal User,Work Orders,Critical,Resolved,AST000429,,Duplicate records in export
BUG000054,2024-08-20 14:57:29,Permissions,Reporting,Medium,Open,AST000877,,Report filter returns empty
BUG000055,2025-09-16 21:40:54,Field Mobile,Work Orders,High,Resolved,AST000841,LOC0003,Incorrect priority mapping
BUG000056,2025-10-28 14:11:16,Field Mobile,Work Orders,High,Resolved,AST000090,,Duplicate records in export
BUG000057,2024-05-10 19:31:01,Field Mobile,Mobile Sync,Medium,Open,AST000692,,Barcode scan fails intermittently
BUG000058,2025-12-17 05:56:04,Data Quality,Mobile Sync,Medium,Open,AST000119,LOC0015,Login timeout / session issue
BUG000059,2025-03-21 22:55:05,Permissions,Reporting,High,Open,AST000246,,WO status not updating
BUG000060,2025-06-24 03:52:03,Field Mobile,Inventory,Low,Open,AST000881,,Login timeout / session issue
BUG000061,2024-05-05 04:57:23,Data Quality,Inventory,Low,In Review,,,Duplicate records in export
BUG000062,2025-09-17 20:18:51,Field Mobile,Work Orders,High,Resolved,,,Report filter returns empty
BUG000063,2025-02-12 00:25:28,Permissions,Reporting,Low,Open,AST000781,,Barcode scan fails intermittently
BUG000064,2024-01-01 01:02:36,Internal User,Assets,Critical,Resolved,AST001036,,Login timeout / session issue
BUG000065,2024-02-14 04:14:09,Data Quality,Mobile Sync,Medium,In Review,AST000305,,Date parsing issue during import
BUG000066,2025-07-10 07:42:29,Internal User,Reporting,Low,Resolved,AST000275,,WO status not updating
BUG000067,2024-04-20 10:41:24,Integration,Inventory,Medium,Resolved,AST000597,,Asset hierarchy missing
BUG000068,2024-08-05 07:22:24,Data Quality,Reporting,Medium,Resolved,AST000026,,Date parsing issue during import
BUG000069,2025-09-05 16:41:19,Field Mobile,Mobile Sync,Medium,Resolved,AST000389,,Date parsing issue during import
BUG000070,2024-05-15 03:44:01,Internal User,Inventory,High,Resolved,AST000253,LOC0013,Incorrect priority mapping
BUG000071,2025-12-27 05:05:08,Data Quality,Work Orders,Low,In Review,AST001102,,Asset hierarchy missing
BUG000072,2024-08-16 04:13:30,Integration,Work Orders,Low,Open,AST000333,,Incorrect priority mapping
BUG000073,2024-10-06 21:39:00,Field Mobile,Mobile Sync,High,Won't Fix,AST000865,LOC0007,Report filter returns empty
BUG000074,2025-03-31 21:18:27,Field Mobile,Assets,Low,Resolved,AST000745,,Incorrect priority mapping
BUG000075,2025-06-14 13:43:47,Integration,Work Orders,Low,Resolved,AST000116,,Duplicate records in export
BUG000076,2024-08-26 02:31:32,Field Mobile,Reporting,Medium,Open,AST001186,LOC0016,Duplicate records in export
BUG000077,2024-06-01 07:16:05,Field Mobile,Mobile Sync,Medium,In Review,AST000020,,Sync conflict on offline mode
BUG000078,2025-10-13 13:47:16,Field Mobile,Assets,Low,Open,,,Login timeout / session issue
BUG000079,2025-12-10 21:42:35,Field Mobile,Reporting,Medium,Resolved,AST000891,,Login timeout / session issue
BUG000080,2024-08-08 02:42:28,Integration,Mobile Sync,Low,Resolved,AST000014,,Date parsing issue during import
BUG000081,2024-11-03 20:59:58,Field Mobile,Work Orders,Low,Resolved,AST000866,,Asset hierarchy missing
BUG000082,2025-07-05 10:06:10,Data Quality,User Access,Low,Resolved,,,Asset hierarchy missing
BUG000083,2024-08-21 14:19:42,Permissions,Assets,Low,Resolved,AST000960,,Asset hierarchy missing
BUG000084,2025-12-28 01:51:59,Field Mobile,Mobile Sync,Medium,Resolved,AST000122,,Sync conflict on offline mode
BUG000085,2024-01-04 23:59:03,Data Quality,Work Orders,Medium,In Review,AST000974,,Asset hierarchy missing
BUG000086,2025-10-02 22:18:32,Internal User,Work Orders,High,In Review,,LOC0023,Mobile form validation error
BUG000087,2024-03-14 22:21:35,Integration,Work Orders,Low,Resolved,AST000856,LOC0005,Date parsing issue during import
BUG000088,2025-03-11 13:01:52,Permissions,Inventory,High,Resolved,AST000702,,Login timeout / session issue
BUG000089,2025-01-30 00:33:29,Internal User,Assets,Medium,Resolved,AST000448,,Duplicate records in export
BUG000090,2025-11-03 16:12:12,Permissions,Work Orders,Low,Open,,,Sync conflict on offline mode
BUG000091,2024-10-01 05:29:04,Field Mobile,Reporting,Medium,Resolved,AST000417,,Incorrect priority mapping
BUG000092,2025-07-30 18:29:20,Permissions,Inventory,Critical,Open,AST000614,LOC0008,Sync conflict on offline mode
BUG000093,2025-09-27 11:00:33,Field Mobile,Mobile Sync,Low,Won't Fix,,,Duplicate records in export
BUG000094,2024-03-02 01:33:54,Data Quality,Work Orders,Low,Resolved,AST000789,,Date parsing issue during import
BUG000095,2024-01-20 08:26:40,Integration,Assets,Low,Resolved,AST001166,,Barcode scan fails intermittently
BUG000096,2025-10-31 04:45:05,Permissions,Assets,High,Resolved,AST000010,,Date parsing issue during import
BUG000097,2025-10-21 00:43:19,Integration,Work Orders,Low,Open,AST001112,,Asset hierarchy missing
BUG000098,2024-01-04 18:25:33,Field Mobile,User Access,Low,Resolved,AST000247,,Date parsing issue during import
BUG000099,2025-05-21 15:14:01,Field Mobile,Reporting,Low,Resolved,,,Login timeout / session issue
BUG000100,2024-01-26 14:22:14,Permissions,Inventory,Low,Resolved,AST000981,,Duplicate records in export
BUG000101,2025-10-14 01:05:26,Integration,Work Orders,High,In Review,AST000442,,Sync conflict on offline mode
BUG000102,2025-06-23 19:51:28,Data Quality,Work Orders,Medium,In Review,AST000606,,Asset hierarchy missing
BUG000103,2024-04-26 21:09:58,Internal User,Reporting,Low,Open,AST000018,,Report filter returns empty
BUG000104,2025-04-24 21:49:02,Field Mobile,Work Orders,Medium,Resolved,AST000238,LOC0003,Incorrect priority mapping
BUG000105,2024-03-15 03:27:17,Data Quality,Reporting,Low,Resolved,AST000486,,Report filter returns empty
BUG000106,2025-11-20 12:55:05,Integration,Work Orders,High,Resolved,AST001141,LOC0024,Asset hierarchy missing
BUG000107,2025-01-23 04:01:03,Data Quality,Inventory,Low,Resolved,AST000613,,Sync conflict on offline mode
BUG000108,2024-08-10 13:32:58,Field Mobile,Assets,High,Resolved,AST001142,,Login timeout / session issue
BUG000109,2025-01-20 21:23:26,Internal User,Work Orders,Medium,Resolved,AST001066,,Login timeout / session issue
BUG000110,2025-06-07 08:00:33,Data Quality,User Access,Medium,Resolved,,,Date parsing issue during import
BUG000111,2024-04-07 01:11:56,Data Quality,User Access,Low,Open,AST000666,LOC0012,Sync conflict on offline mode
BUG000112,2024-04-03 16:41:38,Data Quality,Assets,Low,Open,AST000438,,Login timeout / session issue
BUG000113,2024-01-06 21:07:39,Field Mobile,Inventory,High,Resolved,AST000959,,Asset hierarchy missing
BUG000114,2024-07-02 08:10:00,Data Quality,Reporting,High,In Review,AST000365,,Sync conflict on offline mode
BUG000115,2024-09-07 02:58:45,Internal User,User Access,High,In Review,AST000634,,Report filter returns empty
BUG000116,2024-06-30 04:16:38,Field Mobile,Reporting,Medium,In Review,AST000506,,Asset hierarchy missing
BUG000117,2025-08-06 21:52:17,Field Mobile,Work Orders,Medium,Open,AST000185,,Barcode scan fails intermittently
BUG000118,2025-11-13 20:46:22,Integration,Assets,Medium,Resolved,AST000016,,Incorrect priority mapping
BUG000119,2025-12-02 20:04:27,Integration,Reporting,Low,Resolved,AST000577,,Asset hierarchy missing
BUG000120,2025-07-21 13:44:38,Internal User,Mobile Sync,Low,Resolved,AST000773,,Date parsing issue during import
BUG000121,2025-09-28 05:53:28,Data Quality,Inventory,Low,Open,AST000528,LOC0010,Incorrect priority mapping
BUG000122,2025-09-19 23:12:53,Internal User,Inventory,Medium,Resolved,AST000260,,Date parsing issue during import
BUG000123,2024-10-03 20:47:11,Data Quality,Reporting,Low,Resolved,AST000211,,Mobile form validation error
BUG000124,2024-10-18 09:47:34,Data Quality,User Access,Medium,Open,AST000061,,WO status not updating
BUG000125,2024-09-29 01:41:12,Field Mobile,Reporting,Medium,Resolved,AST000458,,Login timeout / session issue
BUG000126,2025-06-22 15:22:50,Field Mobile,Work Orders,High,Resolved,AST000766,LOC0015,Sync conflict on offline mode
BUG000127,2025-09-26 13:11:23,Data Quality,Assets,Low,Open,AST001189,,Sync conflict on offline mode
BUG000128,2025-12-27 13:48:41,Internal User,Reporting,Medium,Resolved,AST000488,,Report filter returns empty
BUG000129,2024-09-26 21:32:05,Field Mobile,Mobile Sync,Medium,Open,AST001022,,Duplicate records in export
BUG000130,2024-10-09 07:33:58,Field Mobile,Work Orders,High,Won't Fix,AST001085,,Sync conflict on offline mode
BUG000131,2025-04-02 07:48:56,Integration,Mobile Sync,Low,Resolved,AST000485,,Duplicate records in export
BUG000132,2024-03-25 18:10:17,Integration,Mobile Sync,Medium,In Review,AST000588,,Incorrect priority mapping
BUG000133,2024-05-11 14:19:05,Field Mobile,Assets,High,Resolved,AST000006,,Mobile form validation error
BUG000134,2025-12-02 13:58:29,Data Quality,Assets,Medium,Resolved,,LOC0018,Mobile form validation error
BUG000135,2025-05-08 04:33:34,Integration,Work Orders,Medium,Resolved,AST000679,,Login timeout / session issue
BUG000136,2025-01-28 03:59:45,Integration,Work Orders,Medium,Resolved,AST000986,,Date parsing issue during import
BUG000137,2025-03-23 05:36:57,Data Quality,Inventory,High,Open,,LOC0020,Date parsing issue during import
BUG000138,2025-05-21 23:21:57,Permissions,Work Orders,Low,Resolved,AST001158,,WO status not updating
BUG000139,2025-07-10 22:28:57,Permissions,Work Orders,Low,Resolved,AST000609,LOC0009,Report filter returns empty
BUG000140,2024-07-18 09:02:22,Data Quality,Reporting,Low,Open,AST000558,,Asset hierarchy missing
BUG000141,2024-11-09 19:48:33,Field Mobile,Work Orders,Medium,Open,AST000304,,Incorrect priority mapping
BUG000142,2025-08-10 21:18:08,Permissions,Work Orders,Low,Resolved,,LOC0014,Date parsing issue during import
BUG000143,2024-10-24 09:45:11,Field Mobile,Inventory,Low,In Review,AST000618,,Incorrect priority mapping
BUG000144,2025-10-25 14:23:25,Internal User,Work Orders,Medium,In Review,AST000054,,Login timeout / session issue
BUG000145,2025-11-14 16:45:19,Field Mobile,Assets,High,In Review,AST001107,,Barcode scan fails intermittently
BUG000146,2025-03-25 16:48:56,Integration,Reporting,Low,Open,AST000905,,Date parsing issue during import
BUG000147,2025-06-19 02:18:55,Field Mobile,Assets,Medium,Won't Fix,AST000879,,Sync conflict on offline mode
BUG000148,2025-08-12 18:47:13,Permissions,Work Orders,High,Resolved,AST000543,,Duplicate records in export
BUG000149,2024-02-27 20:15:56,Field Mobile,Mobile Sync,High,Resolved,AST000769,LOC0003,Mobile form validation error
BUG000150,2025-07-12 16:48:36,Internal User,Work Orders,Medium,Open,AST000038,,Mobile form validation error
BUG000151,2025-06-30 04:35:45,Data Quality,Work Orders,Medium,Open,AST000271,,Barcode scan fails intermittently
BUG000152,2025-11-25 11:12:48,Internal User,Reporting,Low,Resolved,AST000785,,Date parsing issue during import
BUG000153,2024-01-25 06:10:32,Field Mobile,Work Orders,Medium,Open,,,Incorrect priority mapping
BUG000154,2024-02-11 23:19:01,Field Mobile,Assets,Low,In Review,AST001053,LOC0007,Report filter returns empty
BUG000155,2025-10-26 09:46:05,Internal User,Assets,Medium,Resolved,AST000997,,Login timeout / session issue
BUG000156,2024-03-31 07:16:34,Data Quality,Assets,Low,Open,AST000362,,Sync conflict on offline mode
BUG000157,2025-12-18 21:40:33,Integration,Assets,High,Resolved,AST000946,,Barcode scan fails intermittently
BUG000158,2024-12-27 00:48:24,Integration,Work Orders,Critical,Open,,,Sync conflict on offline mode
BUG000159,2024-04-24 00:58:36,Field Mobile,Assets,Low,Open,AST000674,LOC0020,Asset hierarchy missing
BUG000160,2025-06-30 03:48:13,Permissions,Work Orders,Low,Resolved,AST000080,,Sync conflict on offline mode
BUG000161,2024-02-03 06:29:56,Field Mobile,Reporting,High,Resolved,,,Duplicate records in export
BUG000162,2024-07-24 02:20:50,Internal User,Reporting,Medium,In Review,,,Incorrect priority mapping
BUG000163,2024-09-07 13:51:27,Field Mobile,Mobile Sync,Medium,Resolved,AST000907,,WO status not updating
BUG000164,2025-07-02 12:11:48,Field Mobile,User Access,Medium,Resolved,,,Report filter returns empty
BUG000165,2025-03-16 06:38:37,Field Mobile,Reporting,Medium,Open,AST000683,,Mobile form validation error
BUG000166,2024-02-13 01:23:29,Field Mobile,Assets,Medium,Resolved,,,Barcode scan fails intermittently
BUG000167,2024-07-10 03:41:44,Integration,Reporting,Medium,Resolved,AST001056,,Report filter returns empty
BUG000168,2024-07-25 14:40:34,Internal User,Work Orders,High,Open,AST000469,LOC0007,Incorrect priority mapping
BUG000169,2025-02-14 03:02:53,Internal User,Reporting,Low,Open,,,Incorrect priority mapping
BUG000170,2025-07-21 17:41:16,Internal User,User Access,Medium,Resolved,AST000422,,Login timeout / session issue
BUG000171,2024-02-26 18:03:31,Data Quality,Mobile Sync,Low,Resolved,,,Duplicate records in export
BUG000172,2025-01-23 19:10:41,Field Mobile,Assets,Medium,Resolved,AST000550,,WO status not updating
BUG000173,2024-06-03 18:33:53,Field Mobile,Reporting,High,Open,,,Report filter returns empty
BUG000174,2024-12-06 15:38:17,Data Quality,Work Orders,Low,Open,AST001192,LOC0003,WO status not updating
BUG000175,2025-04-15 23:23:59,Data Quality,Mobile Sync,Medium,Open,AST000814,LOC0007,Sync conflict on offline mode
BUG000176,2025-01-06 17:46:56,Integration,Work Orders,Low,Resolved,AST000003,,Incorrect priority mapping
BUG000177,2024-10-23 16:12:04,Field Mobile,Work Orders,Medium,In Review,AST000461,,Duplicate records in export
BUG000178,2024-10-19 10:47:54,Field Mobile,Assets,Medium,Resolved,AST000064,,Login timeout / session issue
BUG000179,2024-03-12 16:53:48,Internal User,Work Orders,Low,Open,AST001110,,Report filter returns empty
BUG000180,2024-03-16 13:29:49,Field Mobile,Reporting,Low,Resolved,,,Mobile form validation error
BUG000181,2024-04-22 13:32:46,Integration,Inventory,Critical,Open,,,Date parsing issue during import
BUG000182,2024-07-02 02:06:25,Data Quality,Mobile Sync,Medium,Resolved,AST000622,,Barcode scan fails intermittently
BUG000183,2025-10-09 06:51:04,Field Mobile,Assets,Medium,Resolved,AST001105,,Report filter returns empty
BUG000184,2024-12-16 14:42:43,Internal User,Mobile Sync,High,Won't Fix,AST000121,,Barcode scan fails intermittently
BUG000185,2025-11-21 09:38:51,Internal User,Reporting,Low,Open,AST000724,,Report filter returns empty
BUG000186,2025-07-05 23:54:00,Internal User,Reporting,Medium,Resolved,,,Mobile form validation error
BUG000187,2024-09-22 02:06:20,Permissions,User Access,Low,Won't Fix,,,Duplicate records in export
BUG000188,2024-05-10 12:02:31,Permissions,Assets,High,Resolved,AST000050,,Barcode scan fails intermittently
BUG000189,2024-09-16 15:42:12,Data Quality,Assets,Low,Resolved,,LOC0025,Login timeout / session issue
BUG000190,2024-02-24 16:53:20,Field Mobile,Mobile Sync,Medium,In Review,AST000303,,Duplicate records in export
BUG000191,2025-02-09 02:01:40,Permissions,Work Orders,Critical,Resolved,AST000110,,Report filter returns empty
BUG000192,2025-08-23 03:46:38,Integration,Inventory,Low,Open,AST000224,,Mobile form validation error
BUG000193,2025-11-20 00:07:03,Integration,Work Orders,Low,In Review,AST000881,,Duplicate records in export
BUG000194,2024-12-07 23:46:09,Field Mobile,Reporting,Medium,Open,AST000731,,Barcode scan fails intermittently
BUG000195,2025-08-19 18:51:24,Permissions,Work Orders,Low,Open,,,Date parsing issue during import
BUG000196,2025-01-06 18:20:21,Field Mobile,Mobile Sync,High,Resolved,AST000220,,Mobile form validation error
BUG000197,2025-12-08 04:16:49,Data Quality,Reporting,High,Resolved,AST000932,,Duplicate records in export
BUG000198,2025-12-23 12:57:46,Permissions,Mobile Sync,Medium,In Review,AST000191,,Report filter returns empty
BUG000199,2024-09-26 10:49:24,Internal User,Work Orders,Low,Resolved,,,Report filter returns empty
BUG000200,2024-03-07 06:47:44,Integration,Assets,High,Open,,,Incorrect priority mapping
BUG000201,2025-08-11 16:03:51,Field Mobile,Assets,Low,Open,AST000405,LOC0020,Mobile form validation error
BUG000202,2024-12-14 22:17:40,Field Mobile,Assets,High,Resolved,AST000155,,Mobile form validation error
BUG000203,2024-11-23 23:51:06,Field Mobile,Assets,Medium,Open,,,Incorrect priority mapping
BUG000204,2024-09-01 15:48:12,Data Quality,User Access,High,Resolved,,,Duplicate records in export
BUG000205,2024-04-17 19:22:37,Field Mobile,Work Orders,Medium,Resolved,AST000157,,Sync conflict on offline mode
BUG000206,2025-09-11 09:36:57,Integration,Work Orders,Medium,Resolved,AST001185,,Incorrect priority mapping
BUG000207,2025-03-08 16:52:30,Field Mobile,Reporting,Medium,Resolved,,,Asset hierarchy missing
BUG000208,2024-04-23 00:44:45,Data Quality,Work Orders,High,Resolved,AST000871,,Date parsing issue during import
BUG000209,2025-12-01 23:51:17,Data Quality,Work Orders,Low,Resolved,,,Report filter returns empty
BUG000210,2025-11-27 10:51:22,Internal User,Work Orders,Critical,In Review,AST001059,,Mobile form validation error
BUG000211,2025-08-18 23:47:57,Internal User,Work Orders,Medium,Resolved,AST000021,,Mobile form validation error
BUG000212,2025-11-15 10:29:40,Data Quality,Assets,High,In Review,AST000438,LOC0004,Duplicate records in export
BUG000213,2024-03-28 17:21:17,Field Mobile,Reporting,Medium,Open,,,Asset hierarchy missing
BUG000214,2024-09-20 09:41:56,Field Mobile,Work Orders,Medium,In Review,AST001123,LOC0023,Barcode scan fails intermittently
BUG000215,2025-07-31 15:02:48,Permissions,Inventory,High,Open,AST000870,,Login timeout / session issue
BUG000216,2024-03-05 13:05:50,Field Mobile,Work Orders,Low,Open,AST000852,,Mobile form validation error
BUG000217,2024-02-25 18:33:54,Data Quality,Inventory,Low,Open,AST000516,,WO status not updating
BUG000218,2025-08-26 23:16:28,Field Mobile,Reporting,Low,In Review,AST001130,,Report filter returns empty
BUG000219,2024-06-03 19:36:51,Data Quality,Mobile Sync,Low,Resolved,AST000070,,Report filter returns empty
BUG000220,2024-05-13 14:35:53,Permissions,Assets,High,Resolved,AST001197,,Mobile form validation error
BUG000221,2025-02-09 10:24:13,Field Mobile,Mobile Sync,Medium,Resolved,,,Sync conflict on offline mode
BUG000222,2025-09-03 09:13:32,Internal User,Mobile Sync,Low,Open,AST000459,,Barcode scan fails intermittently
BUG000223,2025-04-25 14:51:31,Field Mobile,Assets,Medium,In Review,,,Mobile form validation error
BUG000224,2025-11-19 07:53:12,Field Mobile,Work Orders,High,Open,,LOC0024,Report filter returns empty
BUG000225,2024-04-20 22:06:35,Permissions,Inventory,High,Resolved,AST000828,LOC0022,Login timeout / session issue
BUG000226,2024-12-27 10:26:46,Integration,Work Orders,Low,Resolved,AST000233,LOC0008,Asset hierarchy missing
BUG000227,2025-08-01 18:38:09,Internal User,Work Orders,Medium,In Review,AST000312,,Report filter returns empty
BUG000228,2024-03-19 14:53:16,Internal User,Work Orders,Low,Resolved,AST000223,,Incorrect priority mapping
BUG000229,2024-11-25 19:45:38,Integration,Work Orders,Medium,Open,,LOC0008,Login timeout / session issue
BUG000230,2025-02-20 12:15:26,Data Quality,Work Orders,Low,Open,,,Date parsing issue during import
BUG000231,2024-05-04 15:43:31,Data Quality,Inventory,Medium,Resolved,AST000335,,Date parsing issue during import
BUG000232,2024-10-30 16:00:20,Permissions,Assets,Medium,Resolved,AST000366,,WO status not updating
BUG000233,2024-05-09 14:20:24,Field Mobile,Mobile Sync,High,Resolved,AST000252,,Date parsing issue during import
BUG000234,2025-01-30 22:53:56,Field Mobile,Work Orders,Medium,Open,AST000446,,Incorrect priority mapping
BUG000235,2024-12-30 03:27:02,Data Quality,Reporting,Low,Open,AST000223,LOC0020,Duplicate records in export
BUG000236,2025-01-12 04:34:55,Permissions,Work Orders,High,Resolved,AST000548,,Date parsing issue during import
BUG000237,2024-12-14 22:20:20,Field Mobile,Reporting,Low,Resolved,,,Asset hierarchy missing
BUG000238,2025-06-08 12:15:24,Field Mobile,Mobile Sync,Medium,Open,AST000583,,Date parsing issue during import
BUG000239,2024-07-05 11:13:27,Field Mobile,Reporting,Low,Resolved,,LOC0011,Sync conflict on offline mode
BUG000240,2024-06-18 14:51:06,Field Mobile,Mobile Sync,Low,In Review,AST001144,,Barcode scan fails intermittently
BUG000241,2024-01-20 01:20:56,Field Mobile,Work Orders,Low,In Review,AST000725,,Barcode scan fails intermittently
BUG000242,2025-09-14 13:14:34,Field Mobile,Reporting,Medium,Resolved,AST000164,,Report filter returns empty
BUG000243,2024-11-13 14:44:20,Integration,Mobile Sync,Medium,Resolved,AST000888,,WO status not updating
BUG000244,2024-07-10 07:12:31,Permissions,Mobile Sync,High,Resolved,AST000292,,Sync conflict on offline mode
BUG000245,2025-11-06 20:48:59,Field Mobile,Assets,Low,Resolved,AST000516,,Sync conflict on offline mode
BUG000246,2025-11-25 08:43:02,Integration,Mobile Sync,Critical,Open,,,Report filter returns empty
BUG000247,2025-05-30 15:52:23,Internal User,Mobile Sync,Low,Resolved,AST001185,,Date parsing issue during import
BUG000248,2025-01-15 04:02:10,Internal User,Reporting,Low,Open,AST000907,,Barcode scan fails intermittently
BUG000249,2025-01-22 00:24:23,Field Mobile,Work Orders,High,Resolved,AST001112,,Incorrect priority mapping
BUG000250,2025-03-15 14:53:23,Integration,Reporting,Low,Resolved,AST000002,,Duplicate records in export
BUG000251,2024-11-20 05:06:18,Field Mobile,Inventory,Medium,Open,AST001045,,WO status not updating
BUG000252,2024-08-05 20:04:50,Field Mobile,Reporting,Low,In Review,AST000808,,Mobile form validation error
BUG000253,2024-10-03 15:36:30,Integration,Assets,Low,Won't Fix,AST001047,,WO status not updating
BUG000254,2024-12-31 10:54:18,Integration,Work Orders,Low,In Review,AST000420,,Incorrect priority mapping
BUG000255,2024-12-12 05:16:37,Field Mobile,Work Orders,High,Open,AST000353,,Login timeout / session issue
BUG000256,2025-11-17 18:22:31,Field Mobile,Reporting,Medium,In Review,AST001062,,Sync conflict on offline mode
BUG000257,2025-08-17 02:14:27,Data Quality,Inventory,Low,Resolved,,,Report filter returns empty
BUG000258,2024-05-06 03:22:16,Field Mobile,User Access,High,In Review,,,Incorrect priority mapping
